"No.","Time","Source","Destination","Protocol","Length","Info"
"128486","258.283323","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=667419 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128487","258.283323","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=668879 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128488","258.283601","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=670339 Win=528384 Len=0"
"128489","258.285283","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=670339 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128490","258.285283","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128491","258.285283","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=673244 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128492","258.285283","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=674704 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128493","258.285283","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=676164 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128494","258.285283","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=677624 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128495","258.285283","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128496","258.285283","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=680529 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128497","258.285283","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=681989 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128498","258.286015","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=683449 Win=528384 Len=0"
"128499","258.286520","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=683449 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128500","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=684909 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128501","258.289238","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128502","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=687814 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128503","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=689274 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128504","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=690734 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128505","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=692194 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128506","258.289238","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128507","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=695099 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128508","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=696559 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128509","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=698019 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128510","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=699479 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128511","258.289238","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128512","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=702384 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128513","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=703844 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128514","258.289238","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=705304 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128515","258.290023","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=706764 Win=528384 Len=0"
"128516","258.290208","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=706764 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128517","258.290208","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128518","258.290208","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=709669 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128519","258.290259","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=711129 Win=528384 Len=0"
"128520","258.290998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=711129 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128521","258.290998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=712589 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128522","258.290998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=714049 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128523","258.290998","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128524","258.290998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=716954 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128525","258.290998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=718414 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128526","258.290998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=719874 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128527","258.290998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=721334 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128528","258.290998","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128529","258.291127","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=724239 Win=528384 Len=0"
"128534","258.294468","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=183762 Ack=4947 Win=125440 Len=1460 [TCP segment of a reassembled PDU]"
"128535","258.294468","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=185222 Ack=4947 Win=125440 Len=1460 [TCP segment of a reassembled PDU]"
"128536","258.294574","10.0.0.159","150.250.77.84","TCP","54","57720  >  443 [ACK] Seq=4947 Ack=186682 Win=65536 Len=0"
"128537","258.296337","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=186682 Ack=4947 Win=125440 Len=1460 [TCP segment of a reassembled PDU]"
"128538","258.296337","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128539","258.296337","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=189587 Ack=4947 Win=125440 Len=1460 [TCP segment of a reassembled PDU]"
"128540","258.296337","150.250.77.84","10.0.0.159","TLSv1.2","343","Application Data"
"128541","258.296337","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=192507 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128542","258.296337","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=193967 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128543","258.296337","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128544","258.296337","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=196872 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128545","258.296955","10.0.0.159","150.250.77.84","TCP","54","57720  >  443 [ACK] Seq=4947 Ack=191336 Win=65536 Len=0"
"128546","258.297588","10.0.0.159","150.250.77.84","TCP","54","57726  >  443 [ACK] Seq=5134 Ack=198332 Win=131328 Len=0"
"128547","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=198332 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128548","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=199792 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128549","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=724239 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128550","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=725699 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128551","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=727159 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128552","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=728619 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128553","258.300305","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128554","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=731524 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128555","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=732984 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128556","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=734444 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128557","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=735904 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128558","258.300305","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128559","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=738809 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128560","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=740269 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128561","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=741729 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128562","258.300305","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=743189 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128563","258.300942","10.0.0.159","150.250.77.84","TCP","54","57726  >  443 [ACK] Seq=5134 Ack=201252 Win=265472 Len=0"
"128564","258.301880","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=744649 Win=528384 Len=0"
"128565","258.302563","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128566","258.302563","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=746094 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128567","258.302563","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=747554 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128568","258.302563","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=749014 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128569","258.302563","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=750474 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128570","258.302563","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128571","258.302563","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=753379 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128572","258.302563","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=754839 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128573","258.302563","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=756299 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128574","258.302830","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=757759 Win=528384 Len=0"
"128578","258.308996","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=757759 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128579","258.308996","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128580","258.308996","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=760664 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128581","258.309176","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=762124 Win=528384 Len=0"
"128582","258.310406","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=762124 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128583","258.310406","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=763584 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128584","258.310406","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=765044 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128585","258.310406","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128586","258.310406","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=767949 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128587","258.310406","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=769409 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128588","258.310406","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=770869 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128589","258.310406","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=772329 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128590","258.310559","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=773789 Win=528384 Len=0"
"128591","258.310732","10.0.0.159","150.250.77.84","TCP","1514","57720  >  443 [ACK] Seq=4947 Ack=191336 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"128592","258.310732","10.0.0.159","150.250.77.84","TCP","1514","57720  >  443 [ACK] Seq=6407 Ack=191336 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"128593","258.310732","10.0.0.159","150.250.77.84","TLSv1.2","291","Application Data"
"128594","258.312005","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128595","258.312005","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=775234 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128596","258.312005","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=776694 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128597","258.312005","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=778154 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128598","258.312005","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=779614 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128599","258.312005","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128600","258.312154","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=782519 Win=528384 Len=0"
"128601","258.312919","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=782519 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128602","258.312919","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=783979 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128603","258.312919","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=785439 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128604","258.312919","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=786899 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128605","258.312919","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128606","258.313029","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=789804 Win=528384 Len=0"
"128608","258.333777","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=789804 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128609","258.333777","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=791264 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128610","258.333777","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=792724 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128611","258.333777","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=794184 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128612","258.333777","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128613","258.333777","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=797089 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128614","258.333777","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=798549 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128615","258.333777","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=800009 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128616","258.333777","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=801469 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128617","258.333777","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128618","258.334048","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=804374 Win=528384 Len=0"
"128620","258.334636","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=804374 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128621","258.334636","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=805834 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128622","258.334636","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=807294 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128623","258.334636","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=808754 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128624","258.334636","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128625","258.334636","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=811659 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128626","258.334636","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=813119 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128627","258.335167","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=814579 Win=528384 Len=0"
"128628","258.336357","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=814579 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128629","258.336357","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=816039 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128630","258.336442","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=817499 Win=528384 Len=0"
"128637","258.336791","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128638","258.336791","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=818944 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128639","258.336791","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=820404 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128640","258.336791","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=821864 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128641","258.336791","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=823324 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128642","258.336850","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=824784 Win=528384 Len=0"
"128643","258.340979","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128644","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=826229 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128645","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=827689 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128646","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=829149 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128647","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=830609 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128648","258.340979","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128649","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=833514 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128650","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=834974 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128651","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=836434 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128652","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=837894 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128653","258.340979","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128654","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=840799 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128655","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=842259 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128656","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=843719 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128657","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=845179 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128658","258.340979","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128659","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=848084 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128660","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=849544 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128661","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=851004 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128662","258.340979","150.250.77.84","10.0.0.159","TCP","1514","443  >  57709 [ACK] Seq=852464 Ack=11448 Win=128256 Len=1460 [TCP segment of a reassembled PDU]"
"128663","258.341183","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=853924 Win=528384 Len=0"
"128664","258.341290","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128665","258.341290","150.250.77.84","10.0.0.159","TCP","60","443  >  57720 [ACK] Seq=191336 Ack=7867 Win=128256 Len=0"
"128666","258.341324","10.0.0.159","150.250.77.84","TCP","54","57709  >  443 [ACK] Seq=11448 Ack=855369 Win=526848 Len=0"
"128667","258.341549","150.250.77.84","10.0.0.159","TCP","60","443  >  57720 [ACK] Seq=191336 Ack=8104 Win=128256 Len=0"
"128668","258.342447","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=201252 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128669","258.347127","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128670","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=204157 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128671","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=205617 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128672","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=207077 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128673","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57726 [ACK] Seq=208537 Ack=5134 Win=125696 Len=1460 [TCP segment of a reassembled PDU]"
"128674","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=191336 Ack=8104 Win=128512 Len=1460 [TCP segment of a reassembled PDU]"
"128675","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=192796 Ack=8104 Win=128512 Len=1460 [TCP segment of a reassembled PDU]"
"128676","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=194256 Ack=8104 Win=128512 Len=1460 [TCP segment of a reassembled PDU]"
"128677","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=195716 Ack=8104 Win=128512 Len=1460 [TCP segment of a reassembled PDU]"
"128678","258.347127","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"128679","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=198621 Ack=8104 Win=128512 Len=1460 [TCP segment of a reassembled PDU]"
"128680","258.347127","150.250.77.84","10.0.0.159","TCP","1514","443  >  57720 [ACK] Seq=200081 Ack=8104 Win=128512 Len=1460 [TCP segment of a reassembled PDU]"
